"county","2020-01-31 12:00","2020-02-01 12:00","2020-03-02 12:00","2020-03-03 12:00","2020-03-04 12:00","2020-03-05 12:00","2020-03-06 12:00","2020-03-07 12:00","2020-03-08 12:00","2020-03-09 12:00","2020-03-10 12:00","2020-03-11 12:00","2020-03-12 12:00","2020-03-13 12:00","2020-03-14 12:00","2020-03-15 12:00","2020-03-16 12:00","2020-03-17 12:00","2020-03-18 12:00","2020-03-19 12:00","2020-03-20 12:00","2020-03-21 16:00","2020-03-22 16:00","2020-03-23 16:00","2020-03-24 16:00","2020-03-25 16:00","2020-03-26 16:00","2020-03-27 16:00"
"barnstable",,,,,,,,,,,,,,,"1","1","1","2","2","5","9","11","24","30","40","51","67","100"
"berkshire",,,,,,,,"1","1","5","7","7","9","9","9","9","11","14","17","18","20","21","23","26","37","71","73","105"
"bristol",,,,,,,,,,,,,,,"1","1","2","5","5","6","6","14","24","25","31","67","90","129"
"dukes",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nantucket",,,,,,,,,,,,,,,,,,,,,,"1","1","1","2","3","3","4"
"essex",,,,,,,,,,,"1","1","2","2","5","6","8","8","14","19","29","41","60","73","118","177","247","350"
"franklin",,,,,,,,,,,,,,,,,,,"1","1","1","2","2","2","5","14","16","24"
"hampden",,,,,,,,,,,,,,,,"1","1","1","2","3","3","9","12","15","24","45","55","90"
"hampshire",,,,,,,,,,,,,,,,,,,,"1","2","2","4","6","8","11","17","20"
"middlesex",,,,,,"1","1","5","10","15","41","43","48","60","65","75","83","89","100","119","144","177","199","232","304","446","538","685"
"norfolk",,,"1","1","1","1","3","3","7","10","22","23","24","24","28","31","36","43","45","52","64","69","75","82","129","222","292","393"
"plymouth",,,,,,,,,,,,,,,,"1","3","5","5","5","11","20","25","32","64","101","138","187"
"suffolk",,"1","1","1","1","1","4","4","9","10","20","20","23","26","27","31","36","42","51","72","86","108","126","154","234","342","448","631"
"worcester",,,,,,,,,"1","1","1","1","2","2","2","6","6","8","10","14","19","24","37","42","73","129","166","219"
