"county","2020-03-04 12:00","2020-03-05 12:00","2020-03-06 12:00","2020-03-07 12:00","2020-03-08 12:00","2020-03-09 12:00","2020-03-10 12:00","2020-03-11 12:00","2020-03-12 12:00","2020-03-13 12:00","2020-03-14 12:00","2020-03-15 12:00","2020-03-16 12:00","2020-03-17 12:00","2020-03-18 16:45","2020-03-19 12:00","2020-03-20 12:00","2020-03-21 12:00","2020-03-22 12:00"
"adams",,,,,,,,,,,,,,,,"1","4","4","5"
"allegheny",,,,,,,,,,,"2","3","5","7","11","16","28","31","40"
"armstrong",,,,,,,,,,,,,,,,,,,
"beaver",,,,,,,,,,,,,,"1","2","2","3","3","3"
"bedford",,,,,,,,,,,,,,,,,,,
"berks",,,,,,,,,,,,,,,"1","1","5","7","13"
"blair",,,,,,,,,,,,,,,,,,,
"bradford",,,,,,,,,,,,,,,,,,,
"bucks",,,,,,,,"2","2","3","3","4","5","8","9","12","16","24","32"
"butler",,,,,,,,,,,,,,,,,,"1","1"
"cambria",,,,,,,,,,,,,,,,,,,
"cameron",,,,,,,,,,,,,,,,,,,
"carbon",,,,,,,,,,,,,,,,,,,
"centre",,,,,,,,,,,,,,,,,,"1","1"
"chester",,,,,,,,,,"1","2","2","2","4","9","10","17","19","23"
"clarion",,,,,,,,,,,,,,,,,,,
"clearfield",,,,,,,,,,,,,,,,,,,
"clinton",,,,,,,,,,,,,,,,,,,
"columbia",,,,,,,,,,,,,,,,,,,"1"
"crawford",,,,,,,,,,,,,,,,,,,
"cumberland",,,,,,,,,,"3","3","5","5","10","10","11","11","11","11"
"dauphin",,,,,,,,,,,,,,,,,,,"1"
"delaware",,,"1","1","1","1","1","1","1","6","6","7","7","9","14","14","23","33","43"
"elk",,,,,,,,,,,,,,,,,,,
"erie",,,,,,,,,,,,,,,,,"1","1","2"
"fayette",,,,,,,,,,,,,,,,,,,"1"
"forest",,,,,,,,,,,,,,,,,,,
"franklin",,,,,,,,,,,,,,,,,"1","1","1"
"fulton",,,,,,,,,,,,,,,,,,,
"greene",,,,,,,,,,,,,,,,,,,
"huntingdon",,,,,,,,,,,,,,,,,,,
"indiana",,,,,,,,,,,,,,,,,,,
"jefferson",,,,,,,,,,,,,,,,,,,
"juniata",,,,,,,,,,,,,,,,,,,
"lackawanna",,,,,,,,,,,,,,,"1","2","4","5","6"
"lancaster",,,,,,,,,,,,,,,,"2","2","4","6"
"lawrence",,,,,,,,,,,,,,,,,,,
"lebanon",,,,,,,,,,,,,,,,"1","1","2","3"
"lehigh",,,,,,,,,,,,"1","1","1","1","1","2","13","29"
"luzerne",,,,,,,,,,,,"1","1","1","1","1","2","6","7"
"lycoming",,,,,,,,,,,,,,,,,,,
"mckean",,,,,,,,,,,,,,,,,,,
"mercer",,,,,,,,,,,,,,,,,,,"1"
"mifflin",,,,,,,,,,,,,,,,,,,
"monroe",,,,,,"1","1","2","2","3","3","6","7","7","7","15","19","25","31"
"montgomery",,,,"2","4","7","8","9","13","18","20","24","30","32","42","47","59","71","87"
"montour",,,,,,,,,,,,,,,,,,"1","1"
"northampton",,,,,,,,,"1","1","1","1","1","1","1","5","10","15","21"
"northumberland",,,,,,,,,,,,,,,,,,,
"perry",,,,,,,,,,,,,,,,,,,
"philadelphia",,,,,,,"1","1","1","3","4","6","8","10","17","33","42","69","91"
"pike",,,,,,,,,"1","1","1","1","1","1","2","2","2","2","3"
"potter",,,,,,,,,,,,,,,,,"1","1","1"
"schuylkill",,,,,,,,,,,,,,,,,,,"1"
"snyder",,,,,,,,,,,,,,,,,,,
"somerset",,,,,,,,,,,,,,,,,,,
"sullivan",,,,,,,,,,,,,,,,,,,
"susquehanna",,,,,,,,,,,,,,,,,,,
"tioga",,,,,,,,,,,,,,,,,,,
"union",,,,,,,,,,,,,,,,,,,
"venango",,,,,,,,,,,,,,,,,,,
"warren",,,,,,,,,,,,,,,,,,,
"washington",,,,,,,,,,"1","1","1","1","2","2","3","3","5","7"
"wayne",,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2"
"westmoreland",,,,,,,,,,,,,,,,,"4","4","4"
"wyoming",,,,,,,,,,,,,,,,,,,
"york",,,,,,,,,,,,,,,"2","2","6","9","10"
